name,latitude,longitude,description
Longhorn Staidum, 33.1623778653811, -117.24888490044398, Where our track and field events - football games - soccer games and other field sports take place
Longhorn Baseball Field, 33.16267357499101, -117.2471256439127, Where our baseball games take place
Varsity Softball Field, 33.162747021828444, -117.24602116810746, Where our softball games take place
Performing Arts Center, 33.163759231243326, -117.24613196963348, Where our plays take place
Gymnaisum, 33.16328622304654, -117.24581683100435, Where our basketball games take place
Library, 33.164223944548034, -117.24704133852441, The quietest place to study with much seating
